Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
EUR 54000,54000.00,Hardtop,,"Used boat,Diesel",1996,11.75,4,PVC,France,125
EUR 54000,54000.00,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2010,8.56,2.99,PVC,France,56
EUR 54000,54000.00,Motor Yacht,Larson power boats,"Used boat,Unleaded",2007,8.6,2.9,GRP,Netherlands,161
EUR 53999,53999.00,Runabout,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.99,2.55,GRP,Germany,63
EUR 53998,53998.00,Center console boat,Rio power boats,Used boat,2008,9.65,3.05,PVC,France,56
EUR 53900,53900.00,Sport Boat,Ganz Boats power boats,new boat from stock,2019,6.8,2.35,,Italy,118
EUR 53900,53900.00,Center console boat,Flipper power boats,"new boat on order,Unleaded",2020,6.05,2.22,GRP,Spain,97
EUR 53900,53900.00,Motor Yacht,BÃ©nÃ©teau power boats,new boat from stock,2020,8.23,2.76,GRP,Slovak Republic,89
EUR 53900,53900.00,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.31,2.48,PVC,France,29
EUR 53900,53900.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.41,2.48,Steel,France,30
EUR 53900,53900.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.45,PVC,France,15
EUR 53900,53900.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,Steel,France,39
EUR 53900,53900.00,Center console boat,Jeanneau power boats,new boat from stock,2020,6.31,2.52,GRP,Germany,104
EUR 53900,53900.00,Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,0,7.48,2.5,GRP,Germany,117
EUR 53900,53900.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2017,6.64,2.55,GRP,Germany,445
CHF 58190,60614.58,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,Switzerland ,296
EUR 53800,53800.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,6.55,2.54,GRP,Germany,209
EUR 53800,53800.00,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2012,8.42,2.98,PVC,France,66
EUR 53799,53799.00,Runabout,Quicksilver (Brunswick Marine) power boats,new boat on order,2020,8.05,3,GRP,Germany,75
DKK 399999,53763.31,Runabout,,Used boat,1968,9.2,2.3,,Denmark,91
EUR 53754,53754.00,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,6,2.5,GRP,Germany,131
EUR 53000,53000.00,Motor Yacht,Gobbi power boats,"Used boat,Diesel",1998,10.8,3.8,GRP,Italy,98
EUR 53000,53000.00,Center console boat,,"Used boat,Unleaded",2004,8.5,2.9,,Italy,51
EUR 53000,53000.00,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,7.64,2.66,PVC,France,102
EUR 53000,53000.00,Motor Yacht,De Groot power boats,"Used boat,Diesel",1967,13.8,3.65,Steel,Belgium,232
EUR 53000,53000.00,Sport Boat,Europe Marine power boats,"Used boat,Unleaded",2018,7.15,2.34,GRP,Germany,226
EUR 52999,52999.00,Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.44,GRP,Germany,217
EUR 52999,52999.00,Sport Boat,Sea Ray power boats,new boat from stock,2020,6.55,2.54,GRP,Germany,85
EUR 52969,52969.00,Center console boat,BÃ©nÃ©teau power boats,new boat from stock,2019,8.1,2.53,PVC,France,59
EUR 52969,52969.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.1,2.53,PVC,France,76
EUR 52900,52900.00,Motor Yacht,Cytra power boats,"Used boat,Diesel",1975,11.2,3.5,GRP,Germany,175
EUR 52900,52900.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.48,2.5,,France,42
EUR 52900,52900.00,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,Germany,52
EUR 52900,52900.00,Sport Boat,,"Used boat,Unleaded",2006,8.69,2.74,GRP,Germany,77
EUR 52850,52850.00,Center console boat,NUVA Yachts power boats,"Display Model,Unleaded",2019,5.99,2.49,GRP,Germany,99
EUR 52790,52790.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.02,2.34,GRP,Germany,96
EUR 52700,52700.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.48,2.5,,France,45
CHF 56900,59270.83,Sport Boat,Jeanneau power boats,"Display Model,Unleaded",2019,6.4,2.45,GRP,Switzerland ,147
CHF 56900,59270.83,Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2005,6.32,2.36,,Switzerland ,1119
EUR 52600,52600.00,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.23,2.52,PVC,Spain,22
EUR 52500,52500.00,Sport Boat,Silver power boats,"new boat from stock,Unleaded",0,6.06,2.36,GRP,Germany,170
EUR 52500,52500.00,Sport Boat,Silver power boats,"new boat from stock,Unleaded",0,6.4,2.25,Aluminium,Germany,99
EUR 52500,52500.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,8.36,2.95,Steel,France,84
EUR 52500,52500.00,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2017,7.19,2.54,PVC,Belgium,114
EUR 52500,52500.00,Pilothouse,BÃ©nÃ©teau power boats,Used boat,2017,8.03,2.78,PVC,France,50
EUR 52500,52500.00,Trawler,,"Used boat,Diesel",1981,11.4,3.35,Steel,Netherlands,44
EUR 52500,52500.00,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2012,8.95,2.99,,France,125
EUR 52394,52394.00,Cabin Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,6.6,2.28,GRP,Germany,47
CHF 56500,58854.17,Cabin Boat,Rinker power boats,"Used boat,Unleaded",2008,7.47,2.59,GRP,Switzerland ,708
EUR 52203,52203.00,Bowrider,Parker power boats,"new boat from stock,Unleaded",2019,6.1,2.25,GRP,Switzerland ,195
EUR 51999,51999.00,Sport Boat,Sea Ray power boats,new boat from stock,2019,6.55,2.54,GRP,Germany,56
EUR 51900,51900.00,Bowrider,Bayliner power boats,"Used boat,Unleaded",2018,6.2,2.45,GRP,Germany,98
EUR 51900,51900.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.48,2.53,PVC,France,38
EUR 51900,51900.00,Passenger boat,Alfastreet Marine power boats,"Used boat,Electric",2017,7.8,2.45,GRP,Hungary ,130
EUR 51900,51900.00,Center console boat,Jeanneau power boats,new boat from stock,2020,6.86,2.52,GRP,Netherlands,31
EUR 51900,51900.00,Sport Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,6.99,2.55,GRP,Germany,113
EUR 51885,51885.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,5.94,2.54,GRP,Germany,126
CHF 55900,58229.17,Bowrider,Silver power boats,"new boat from stock,Unleaded",2020,5.64,2.16,Aluminium,Switzerland ,196
EUR 51658,51658.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,PVC,France,24
CHF 55800,58125.00,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2015,7.7,2.78,GRP,Switzerland ,381
EUR 51500,51500.00,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,PVC,France,35
EUR 51500,51500.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.4,2.46,GRP,Germany,155
EUR 51500,51500.00,Sport Boat,BÃ©nÃ©teau power boats,Used boat,2011,7.99,2.94,PVC,France,74
EUR 51500,51500.00,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2011,7.99,2.94,PVC,France,115
CHF 55555,57869.79,Sport Boat,Skibsplast power boats,"Used boat,Unleaded",2008,6.85,2.49,GRP,Switzerland ,370
EUR 51346,51346.00,Bowrider,Sea Ray power boats,Used boat,0,5.94,2.5,,Belgium,130
EUR 51290,51290.00,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2020,6.39,2.29,GRP,Germany,129
CHF 55000,57291.67,Pilothouse,Proficiat power boats,"Used boat,Diesel",1985,9.5,2.97,Steel,Switzerland ,261
CHF 55000,57291.67,Cabin Boat,Fairline power boats,"Used boat,Unleaded",1990,10.04,3.42,GRP,Switzerland ,1386
EUR 51175,51175.00,Deck Boat,Parker power boats,"new boat from stock,Unleaded",2020,6.45,2.45,GRP,Switzerland ,164
EUR 51015,51015.00,Pilothouse,Parker power boats,new boat from stock,2018,7.46,2.55,GRP,Germany,166
EUR 51000,51000.00,Sport Boat,Sea Ray power boats,new boat from stock,2019,5.94,2.54,,Germany,106
EUR 51000,51000.00,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2004,9,3.4,PVC,France,126
EUR 50900,50900.00,Cabin Boat,Campion power boats,"new boat from stock,Unleaded",2020,6.55,2.48,GRP,Germany,113
CHF 55000,57291.67,Bowrider,Glastron power boats,"Display Model,Unleaded",2020,6.2,2.54,GRP,Switzerland ,329
CHF 55000,57291.67,Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2014,6.1,2.59,,Switzerland ,578
DKK 378000,50806.45,Cabin Boat,Nidelv power boats,"Used boat,Diesel",1987,9.1,3.05,GRP,Denmark,172
CHF 54900,57187.50,Bowrider,Formula power boats,"Used boat,Unleaded",2007,8.99,2.8,GRP,Switzerland ,257
CHF 54900,57187.50,Sport Boat,Selection Boats power boats,"new boat from stock,Unleaded",2019,6.48,2.5,GRP,Switzerland ,70
CHF 54900,57187.50,Fishing Boat,Selection Boats power boats,"new boat from stock,Unleaded",2019,6.6,2.49,GRP,Switzerland ,130
CHF 54800,57083.33,"Classic,Runabout",,"Used boat,Unleaded",1974,5.1,2,GRP,Switzerland ,295
EUR 50000,50000.00,Pilothouse,Starfisher power boats,"Used boat,Diesel",2000,8.4,3.03,GRP,Portugal,52
EUR 50000,50000.00,Sport Boat,,Used boat,2004,10.31,3.2,GRP,Italy,102
EUR 50000,50000.00,Sport Boat,Sessa power boats,"Used boat,Diesel",1999,10.3,3.53,GRP,Italy,57
EUR 50000,50000.00,Fishing Boat,Bertram Yacht power boats,"Used boat,Unleaded",1988,10.06,3.8,GRP,Italy,72
EUR 50000,50000.00,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",2009,7.32,2.59,GRP,Croatia,110
EUR 50000,50000.00,"Classic,Runabout",Boesch power boats,Used boat,1986,5.9,2,Wood,Croatia,142
EUR 50000,50000.00,Trawler,SAS-Vektor power boats,"Used boat,Diesel",2005,10.8,3.45,GRP,Croatia,104
EUR 50000,50000.00,Center console boat,Thunderbird power boats,Used boat,2007,7.9,2.5,PVC,France,108
EUR 50000,50000.00,Flybridge,Guy Couach power boats,"Used boat,Diesel",1989,9.41,3.62,GRP,Spain,41
EUR 50000,50000.00,Pilothouse,Rhea power boats,"Used boat,Diesel",2007,8.85,2.8,GRP,Italy,138
EUR 50000,50000.00,Sport Boat,Klase A power boats,"Used boat,Diesel",2004,9.5,3,GRP,Spain,141
EUR 50000,50000.00,Working Boat,,"Used boat,Diesel",1971,38.7,9.5,Steel,Italy,477
EUR 50000,50000.00,Trawler,Airon Marine power boats,"Used boat,Diesel",2009,7.61,2.5,PVC,France,35
EUR 50000,50000.00,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Unleaded",1998,11.24,3.54,,Italy,52
EUR 50000,50000.00,Flybridge,Fairline power boats,"Used boat,Diesel",1981,13.3,3.9,PVC,France,130
DKK 372000,50000.00,Sport Boat,Cranchi power boats,Used boat,2006,8.57,2.83,GRP,Netherlands,77
EUR 50000,50000.00,Sport Boat,,"Used boat,Unleaded",2004,8.38,2.9,GRP,Italy,101
EUR 50000,50000.00,Motor Yacht,Hilter power boats,"Used boat,Unleaded",2012,8.4,2.5,GRP,Germany,158
EUR 50000,50000.00,Center console boat,Capelli power boats,Used boat,2011,8.15,2.75,PVC,France,107
EUR 50000,50000.00,Flybridge,Raffaelli power boats,Used boat,1986,10.95,3.87,,Italy,108
EUR 50000,50000.00,Sport Boat,,"Used boat,Diesel",1995,11.43,3.66,GRP,Italy,176
EUR 50000,50000.00,Pilothouse,,Used boat,2004,9.3,3.21,GRP,Italy,60
EUR 50000,50000.00,Sport Boat,Zeta Group power boats,"Used boat,Diesel",1999,7.48,2.7,GRP,Italy,67
EUR 50000,50000.00,Flybridge,,"Used boat,Diesel",1979,13.63,4.47,GRP,Italy,183
EUR 50000,50000.00,Bowrider,Cobalt power boats,"Used boat,Unleaded",2015,8.12,2.59,,Spain,128
EUR 50000,50000.00,House Boat,,"Used boat,Diesel",1980,12,3.4,Steel,France,314
EUR 50000,50000.00,Pilothouse,Intermare power boats,"Used boat,Diesel",2001,7.48,2.7,GRP,Italy,71
EUR 50000,50000.00,Center console boat,Triton power boats,"Used boat,Unleaded",2007,8.84,2.88,,Italy,54
EUR 50000,50000.00,Classic,,"Used boat,Electric",2001,8.75,2.35,Aluminium,Germany,256
EUR 50000,50000.00,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2002,9.79,3.26,GRP,Italy,479
EUR 50000,50000.00,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,10.4,3.11,PVC,France,172
EUR 50000,50000.00,Passenger boat,,"Used boat,Diesel",2003,9.16,2.23,GRP,Italy,152
CHF 53990,56239.58,Sport Boat,Buster power boats,new boat on order,2020,7.2,2.5,Aluminium,Switzerland ,107
EUR 49900,49900.00,Motor Yacht,Italmar power boats,Used boat,2007,6.9,2.55,GRP,Germany,61
EUR 49900,49900.00,Motor Yacht,Hock power boats,"new boat from stock,Diesel",2015,7.15,2.5,,Germany,49
EUR 49900,49900.00,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1992,8.75,3,,Germany,244
EUR 49900,49900.00,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1989,10.7,3.4,GRP,Germany,151
EUR 49900,49900.00,Deck Boat,,"Used boat,Unleaded",2013,7.5,2.25,,Germany,52
EUR 49900,49900.00,Sport Boat,Marinello power boats,"Display Model,Unleaded",2016,6.8,2.49,GRP,Germany,221
EUR 49900,49900.00,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,7.74,2.81,PVC,France,65
EUR 49900,49900.00,Offshore Boat,AluForce power boats,new boat from stock,0,7.4,2.45,Aluminium,Germany,150
EUR 49900,49900.00,Sport Boat,Nordkapp power boats,"Used boat,Unleaded",2016,7.05,2.3,,Germany,154
EUR 49900,49900.00,Trawler,,Used boat,1980,12.9,3.75,Steel,Netherlands,132
EUR 49900,49900.00,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,9.79,3.26,GRP,Germany,258
EUR 49900,49900.00,Trawler,Pedro power boats,Used boat,1988,10,3.3,Steel,Netherlands,109
EUR 49900,49900.00,Pilothouse,Parker power boats,"Used boat,Unleaded",2017,6.45,2.45,GRP,Germany,111
EUR 49900,49900.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.45,PVC,France,66
EUR 49900,49900.00,Cabin Boat,Quicksilver power boats,"Used boat,Diesel",2003,7.45,2.85,GRP,Germany,153
EUR 49900,49900.00,Cabin Boat,,"new boat from stock,Unleaded",0,7.42,2.5,GRP,Germany,73
EUR 49900,49900.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.5,2.53,PVC,France,44
EUR 49900,49900.00,Pontoon Boat,ManÃ² power boats,"Used boat,Unleaded",2009,8.95,3,GRP,Italy,108
EUR 49900,49900.00,Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,8.57,2.83,GRP,Netherlands,89
EUR 49900,49900.00,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,129
EUR 49900,49900.00,Sport Boat,Scarab power boats,"new boat on order,Unleaded",2020,5.6,2.2,GRP,Germany,62
EUR 49900,49900.00,Center console boat,Boston Whaler power boats,"Used boat,Unleaded",2008,7.23,2.59,PVC,France,178
EUR 49900,49900.00,Sport Boat,Buster power boats,"new boat from stock,Unleaded",2020,6.05,2.2,Aluminium,Germany,49
EUR 49900,49900.00,Sport Boat,Hilter power boats,"Display Model,Unleaded",2019,6.6,2.3,GRP,Germany,138
EUR 49900,49900.00,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2010,8.95,2.99,,France,145
EUR 49900,49900.00,"Motor Yacht,Trawler",,"Used boat,Diesel",1987,10.5,3.5,Steel,Netherlands,216
EUR 49900,49900.00,Bowrider,Sea Ray power boats,"new boat on order,Unleaded",2021,5.94,2.54,GRP,Germany,139
EUR 49900,49900.00,Sport Boat,Colombo power boats,"Used boat,Unleaded",1987,8.08,2.58,Plastic,Italy,247
EUR 49900,49900.00,"Cabin Boat,Fishing Boat,Pilothouse",Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2016,6.55,2.54,GRP,Germany,214
EUR 49600,49600.00,Deck Boat,Jeanneau power boats,new boat from stock,2019,7.96,2.98,,Italy,98
EUR 49560,49560.00,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,7.23,2.55,GRP,Germany,67
EUR 49529,49529.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.5,2.4,PVC,France,40
EUR 49500,49500.00,Runabout,,Used boat,2001,8,2.45,,Netherlands,66
EUR 49500,49500.00,Sport Boat,Crownline power boats,"Used boat,Unleaded",2007,8,2,GRP,Croatia,271
EUR 49500,49500.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2006,8.95,2.98,GRP,Croatia,214
EUR 49500,49500.00,Sport Boat,,"Used boat,Diesel",2000,10.45,3.35,GRP,Italy,70
EUR 49500,49500.00,Flybridge,Princess power boats,Used boat,1988,10.74,3.68,GRP,Croatia,149
EUR 49500,49500.00,Working Boat,,"Used boat,Diesel",1901,18.22,4.22,Steel,Netherlands,77
EUR 49500,49500.00,Motor Yacht,Sessa power boats,"Used boat,Diesel",1999,10.9,3.53,,Italy,233
EUR 49500,49500.00,Trawler,,"Used boat,Diesel",1948,14.5,3.6,Steel,Netherlands,73
EUR 49500,49500.00,Trawler,,Used boat,1919,18.42,3.96,Steel,Netherlands,98
EUR 49500,49500.00,Motor Yacht,,Used boat,1975,11.4,3.88,Steel,Netherlands,60
EUR 49500,49500.00,Trawler,,"Used boat,Diesel",1993,12,3.85,Steel,Netherlands,177
EUR 49500,49500.00,House Boat,,"Used boat,Diesel",1949,17.7,4,Steel,Netherlands,207
EUR 49500,49500.00,Deck Boat,Moonday power boats,new boat from stock,2019,8.34,2.63,GRP,Netherlands,26
EUR 49500,49500.00,Trawler,,"Used boat,Diesel",1978,13.69,3.78,Steel,Netherlands,135
EUR 49500,49500.00,Pilothouse,Piculjan Marine power boats,"Used boat,Diesel",2000,8,2,GRP,Croatia,99
EUR 49500,49500.00,Trawler,Steilsteven power boats,Used boat,1923,21.69,4.52,Steel,Netherlands,90
EUR 49500,49500.00,Trawler,,Used boat,1974,15.3,4,Steel,Netherlands,151
EUR 49500,49500.00,Working Boat,,"Used boat,Diesel",1907,16.13,4.1,Steel,Netherlands,97
EUR 49500,49500.00,Trawler,,Used boat,1907,15.25,3.4,Steel,Netherlands,81
EUR 49500,49500.00,Cabin Boat,Monterey power boats,"Used boat,Unleaded",2005,9.79,3.15,GRP,Portugal,153
EUR 49500,49500.00,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2013,8.37,2.98,PVC,France,70
EUR 49500,49500.00,Motor Yacht,Proficiat power boats,Used boat,1996,10.75,3.4,Steel,Netherlands,75
EUR 49500,49500.00,Cabin Boat,Argo power boats,"Used boat,Diesel",1977,11,3.2,Steel,Germany,107
EUR 49500,49500.00,Motor Yacht,,"Used boat,Diesel",1930,13.95,3.95,Steel,Netherlands,142
EUR 49500,49500.00,Motor Yacht,Marex power boats,Used boat,2004,8.95,2.8,GRP,Germany,349
EUR 49500,49500.00,Trawler,Pedro power boats,Used boat,1986,10.6,3.4,Steel,Netherlands,90
EUR 49500,49500.00,Trawler,Pedro power boats,"Used boat,Diesel",1994,9.6,3.2,Steel,Netherlands,113
EUR 49500,49500.00,Sport Boat,Cranchi power boats,Used boat,2000,9.1,2.9,GRP,Netherlands,36
EUR 49500,49500.00,Passenger boat,,Used boat,1930,15.5,3.5,Steel,Netherlands,114
EUR 49270,49270.00,Sport Boat,Pacific Craft power boats,"Used boat,Unleaded",2015,6.99,2,PVC,France,29
EUR 49190,49190.00,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.71,2.54,,France,67
EUR 49099,49099.00,Sport Boat,NUVA Yachts power boats,"Display Model,Unleaded",2019,5.99,2.49,,Germany,101
CHF 53060,55270.83,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.23,2.4,GRP,Switzerland ,272
CHF 53000,55208.33,Center console boat,Marinello power boats,"new boat from stock,Unleaded",2020,6.8,2.49,GRP,Switzerland ,256
EUR 49000,49000.00,"Classic,Runabout",,Used boat,1933,6,1.8,Wood,Germany,70
EUR 49000,49000.00,Flybridge,Uniesse power boats,"Used boat,Unleaded",1995,9.2,3,,Italy,47
EUR 49000,49000.00,Motor Yacht,Piantoni (IT) power boats,"Used boat,Diesel",1990,14,4.41,GRP,Italy,84
EUR 49000,49000.00,Motor Yacht,Piantoni (IT) power boats,"Used boat,Diesel",1990,14,4.41,GRP,Italy,90
EUR 49000,49000.00,Bowrider,Sea Ray power boats,Used boat,2014,6.1,2.44,,Italy,76
EUR 49000,49000.00,Sport Boat,Albatro power boats,"Used boat,Unleaded",2015,8.2,2.45,,Italy,131
EUR 49000,49000.00,Trawler,Menorquin power boats,"Used boat,Diesel",1998,9.75,3.18,GRP,Portugal,123
EUR 49000,49000.00,Pilothouse,AluForce power boats,new boat from stock,2020,7.4,2.45,Aluminium,Germany,164
EUR 49000,49000.00,Sport Boat,Moschini power boats,"Used boat,Diesel",1981,11.95,3.87,,Italy,124
EUR 49000,49000.00,Motor Yacht,Wellcraft power boats,Used boat,0,10.76,3.02,,Belgium,264
EUR 49000,49000.00,Offshore Boat,,"Used boat,Unleaded",1989,13.1,2.5,GRP,Italy,75
EUR 49000,49000.00,Motor Yacht,Akerboom power boats,"Used boat,Diesel",1972,13.3,3.65,Steel,Netherlands,106
EUR 49000,49000.00,Flybridge,Sealine power boats,"Used boat,Diesel",1994,10,3,GRP,Croatia,190
EUR 49000,49000.00,Bowrider,Glastron power boats,"Used boat,Unleaded",2018,6.71,2.54,PVC,France,83
EUR 49000,49000.00,Motor Yacht,,"Used boat,Diesel",1991,11.28,,,Italy,59
EUR 49000,49000.00,Pilothouse,Ocqueteau power boats,"Used boat,Diesel",2014,6.92,2.65,PVC,France,60
EUR 49000,49000.00,Center console boat,,"Used boat,Diesel",2000,10.45,3.3,GRP,Italy,35
EUR 49000,49000.00,Flybridge,Bertram Yacht power boats,"Used boat,Diesel",1991,8.71,3.3,GRP,Italy,77
EUR 49000,49000.00,Motor Yacht,Edership power boats,"Used boat,Diesel",1981,11.53,4.02,GRP,Germany,110
EUR 49000,49000.00,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2012,7,2,PVC,Portugal,72
EUR 49000,49000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2004,9.29,2.98,GRP,Italy,108
EUR 49000,49000.00,Trawler,,Used boat,1987,11.08,3.6,Steel,Netherlands,64
EUR 49000,49000.00,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,7.62,2.67,PVC,France,28
EUR 49000,49000.00,Sport Boat,Airon Marine power boats,"Used boat,Diesel",2003,9.78,3.1,PVC,France,149
EUR 49000,49000.00,Sport Boat,Regal power boats,"Used boat,Unleaded",2014,6.7,2.5,Wood,France,133
EUR 49000,49000.00,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,9.18,3.1,PVC,France,90
EUR 49000,49000.00,Motor Yacht,,"Used boat,Diesel",1989,10.24,3.5,GRP,Spain,58
EUR 49000,49000.00,Classic,Colombo power boats,"Used boat,Unleaded",2009,8.2,2.5,Plastic,Netherlands,235
EUR 49000,49000.00,Bowrider,Sea Ray power boats,"Used boat,Unleaded",2018,6.5,2.5,GRP,Germany,224
CHF 52900,55104.17,Bowrider,Glastron power boats,new boat from stock,2019,6.2,2.54,GRP,Switzerland ,143
CHF 52900,55104.17,Bowrider,Tahoe power boats,"new boat on order,Unleaded",2020,6.05,2.38,GRP,Switzerland ,194
DKK 364000,48924.73,Sport Boat,Yamarin power boats,new boat from stock,2020,6,2,,Denmark,98
EUR 48920,48920.00,Bowrider,Glastron power boats,"new boat from stock,Unleaded",2018,6.17,2.54,,France,78
EUR 48900,48900.00,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",0,7.25,2.57,GRP,Germany,88
EUR 48900,48900.00,Sport Boat,Monterey power boats,"Used boat,Unleaded",2003,8.94,2.82,GRP,Italy,167
EUR 48900,48900.00,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.66,2.55,GRP,Germany,68
EUR 48900,48900.00,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,Germany,109
EUR 48900,48900.00,Sport Boat,Sea Ray power boats,new boat from stock,2019,6.55,2.54,,Germany,130
EUR 48750,48750.00,Sport Boat,Karnic power boats,"new boat from stock,Unleaded",0,6.7,2.45,GRP,Germany,62
EUR 48700,48700.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,6.55,2.54,GRP,Germany,124
EUR 48540,48540.00,Pilothouse,Parker power boats,"new boat from stock,Unleaded",0,7.46,2.55,,Germany,53
DKK 361000,48521.51,Pilothouse,Jeanneau power boats,new boat from stock,2020,6,2,,Denmark,61
EUR 48500,48500.00,Trawler,,"Used boat,Diesel",1948,8.52,2.6,GRP,Germany,43
EUR 48500,48500.00,Motor Yacht,Quicksilver power boats,new boat from stock,2019,6.45,2.55,,Italy,39
EUR 48500,48500.00,Trawler,,"Used boat,Diesel",1948,8.52,2.6,GRP,Germany,62
EUR 48500,48500.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2010,8.15,2.59,GRP,Croatia,157
EUR 48500,48500.00,Deck Boat,Nimbus power boats,Used boat,1999,7.9,2.65,GRP,Netherlands,92
CHF 52000,54166.67,Motor Yacht,Fjord power boats,"Used boat,Unleaded",1998,9,3.16,GRP,Switzerland ,204
CHF 52000,54166.67,Cabin Boat,Draco power boats,"Used boat,Unleaded",1989,9,3.12,Carbon Fiber,Switzerland ,380
CHF 52240,54416.67,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.81,2.36,GRP,Switzerland ,144
EUR 48305,48305.00,Pilothouse,Quicksilver power boats,Used boat,2019,6.55,2.54,,Germany,73
DKK 359000,48252.69,Sport Boat,Campion power boats,new boat from stock,2020,5,2,,Denmark,43
CHF 52000,54166.67,Pilothouse,Cantieri Nautici Ferrario power boats,Used boat,2019,6.4,2.34,GRP,Switzerland ,114
EUR 48064,48064.00,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.43,2.52,PVC,Portugal,56
CHF 51900,54062.50,Sport Boat,AMT power boats,new boat from stock,2018,6.08,2.35,GRP,Switzerland ,195
EUR 48000,48000.00,Motor Yacht,ACM Dufour power boats,"Used boat,Diesel",1999,9.41,2.99,PVC,France,184
