Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
EUR 11000,11000.00,Sport Boat,Mery Nautic power boats,"Used boat,Unleaded",1999,5.2,2.15,,France,95
EUR 11000,11000.00,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175
EUR 11000,11000.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173
EUR 11000,11000.00,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6,2.4,GRP,Spain,422
EUR 11000,11000.00,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243
EUR 11000,11000.00,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254
EUR 10999,10999.00,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150
EUR 10999,10999.00,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255
EUR 10999,10999.00,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179
EUR 10990,10990.00,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169
EUR 10990,10990.00,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136
EUR 12000,12000.00,Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141
EUR 12000,12000.00,Cabin Boat,,"Used boat,Unleaded",1973,7,1.9,Wood,Germany,241
EUR 12000,12000.00,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327
EUR 12000,12000.00,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188
EUR 12000,12000.00,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101
EUR 12000,12000.00,Cabin Boat,,"Used boat,Unleaded",1970,7.75,2.65,Steel,Netherlands,370
EUR 11990,11990.00,Sport Boat,,new boat from stock,2019,4.6,1.8,Aluminium,Germany,133
EUR 11990,11990.00,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5,4.96,PVC,France,141
CHF 12950,13489.58,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland ,284
DKK 89000,11962.37,Sport Boat,Crescent power boats,new boat from stock,2019,4,1,,Denmark,166
DKK 89000,11962.37,Launch,,new boat from stock,2020,4,2,,Denmark,134
CHF 12900,13437.50,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,Switzerland ,273
CHF 12900,13437.50,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland ,365
CHF 13888,14466.67,Runabout,Larson power boats,"Used boat,Unleaded",1994,5.8,2.47,,Switzerland ,333
EUR 12800,12800.00,Sport Boat,,"Used boat,Unleaded",2019,4.8,2,GRP,Germany,73
EUR 12800,12800.00,Sport Boat,Four Winns power boats,Used boat,1994,6.4,2.36,,Belgium,235
EUR 12770,12770.00,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany,180
DKK 94990,12767.47,Launch,,new boat from stock,2020,4,1,,Denmark,67
EUR 12750,12750.00,Deck Boat,,new boat from stock,2020,5.7,2.25,,Germany,97
EUR 12680,12680.00,Fishing Boat,Gropp power boats,Display Model,0,5.5,1.65,Aluminium,Switzerland ,159
CHF 13690,14260.42,Sport Boat,Orkney power boats,new boat from stock,0,4.24,1.8,GRP,Switzerland ,349
EUR 12500,12500.00,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5,2,GRP,Italy,147
EUR 12500,12500.00,Trawler,,"Used boat,Diesel",1973,8.5,3.1,Steel,Netherlands,177
EUR 12500,12500.00,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235
EUR 12500,12500.00,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452
EUR 12500,12500.00,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands,165
EUR 12500,12500.00,"Classic,Launch",,Used boat,1965,6.12,2.22,Wood,Netherlands,160
EUR 12500,12500.00,"Classic,Launch",,Used boat,1950,6,2.2,Wood,Netherlands,162
CHF 14800,15416.67,Bowrider,Ranieri International power boats,new boat from stock,0,5.1,2.1,GRP,Switzerland ,278
CHF 14800,15416.67,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland ,436
EUR 13690,13690.00,Deck Boat,Jeanneau power boats,new boat from stock,2014,5,2,PVC,Slovak Republic,35
CHF 14700,15312.50,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,Switzerland ,212
EUR 13566,13566.00,Sport Boat,Eolo power boats,new boat from stock,2019,5.7,2.1,,Germany,214
CHF 14500,15104.17,Pilothouse,Draco power boats,"Used boat,Unleaded",1992,6.77,2.28,,Switzerland ,760
EUR 13500,13500.00,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy,121
EUR 13500,13500.00,Sport Boat,,"Used boat,Unleaded",1997,6.4,2.54,GRP,Italy,222
EUR 13500,13500.00,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France,110
EUR 13500,13500.00,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherlands,83
EUR 13500,13500.00,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7,2,PVC,Spain,264
EUR 13500,13500.00,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy,109
EUR 13500,13500.00,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia,132
EUR 13500,13500.00,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2,PVC,France,81
EUR 13500,13500.00,Sport Boat,B̩n̩teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France,262
EUR 13500,13500.00,Launch,,"Used boat,Unleaded",1963,6,2.4,Wood,Netherlands,214
EUR 14500,14500.00,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3,2,PVC,Portugal,186
CHF 15619,16269.79,Sport Boat,Buster power boats,new boat from stock,0,4.86,1.85,Aluminium,Switzerland ,81
CHF 15600,16250.00,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,Switzerland ,292
EUR 14400,14400.00,Fishing Boat,,new boat from stock,0,5,2,,Italy,279
EUR 14366,14366.00,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,Germany,119
CHF 15500,16145.83,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,Switzerland ,151
CHF 15400,16041.67,Motor Yacht,B2 Marine power boats,new boat from stock,2019,4.52,1.9,,Switzerland ,220
EUR 14200,14200.00,Sport Boat,Allegra power boats,Used boat,2019,6.35,2.45,,Italy,172
EUR 14200,14200.00,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,Switzerland ,285
EUR 14000,14000.00,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3,GRP,Italy,281
EUR 14000,14000.00,Deck Boat,Mingolla power boats,Used boat,2019,6.42,2.38,,Italy,152
EUR 14000,14000.00,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,6.42,2.38,GRP,Italy,132
EUR 14000,14000.00,Sport Boat,Allegra power boats,new boat from stock,2018,5.6,2.35,,Italy,70
EUR 14000,14000.00,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,Croatia,118
EUR 14000,14000.00,Sport Boat,Rinker power boats,"Used boat,Unleaded",1992,7.16,2.59,,Italy,208
EUR 14950,14950.00,Motor Yacht,Quicksilver power boats,Used boat,2008,5.55,2.47,,Germany,238
EUR 14900,14900.00,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,Germany,156
EUR 14900,14900.00,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10,3,GRP,Croatia,111
EUR 14900,14900.00,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Italy,87
EUR 14900,14900.00,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,Germany,70
EUR 14900,14900.00,"Cabin Boat,Classic",,Used boat,1948,8.25,2.65,Wood,Netherlands,155
EUR 14900,14900.00,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,Italy,356
EUR 14900,14900.00,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,Germany,198
EUR 14900,14900.00,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,France,68
EUR 14900,14900.00,Center console boat,Ultramar power boats,"Used boat,Unleaded",2018,5.3,1.96,,Germany,103
EUR 14900,14900.00,Trawler,,Used boat,1975,10.3,3,Steel,Netherlands,225
EUR 14900,14900.00,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Switzerland ,80
EUR 14900,14900.00,Trawler,,Used boat,2001,8.3,3,Steel,Netherlands,309
EUR 14900,14900.00,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5,2.1,GRP,Germany,180
EUR 15500,15500.00,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,Germany,145
EUR 15500,15500.00,Deck Boat,,"new boat from stock,Unleaded",2020,5.53,2.18,,Italy,50
EUR 15500,15500.00,Sport Boat,Maxum power boats,"Used boat,Diesel",2007,6.12,2.31,,Malta,185
EUR 15500,15500.00,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,Austria,125
EUR 15500,15500.00,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,Austria,236
EUR 15500,15500.00,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,Netherlands,253
EUR 15500,15500.00,Trawler,Skilș power boats,"Used boat,Diesel",1979,7,2.5,GRP,Germany,311
EUR 15499,15499.00,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,Germany,219
EUR 15490,15490.00,Deck Boat,Jeanneau power boats,new boat from stock,2017,5,2,PVC,Slovak Republic,71
EUR 15446,15446.00,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,Germany,56
EUR 15446,15446.00,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",0,6.34,2.48,GRP,Germany,148
EUR 15400,15400.00,Center console boat,Ranieri power boats,new boat from stock,2019,6,2.25,GRP,Italy,116
DKK 114500,15389.78,Deck Boat,Crescent power boats,,2019,5,1,,Denmark,45
EUR 16490,16490.00,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,4.54,1.85,GRP,Germany,54
CHF 17684,18420.83,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,Switzerland ,341
EUR 16314,16314.00,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",0,5.48,2.36,GRP,Germany,90
CHF 17500,18229.17,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,Switzerland ,201
EUR 16304,16304.00,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,4.54,1.85,GRP,Germany,98
EUR 16220,16220.00,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,Germany,99
EUR 16219,16219.00,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",0,5.48,2.36,GRP,Germany,75
