Eur Price,Boat Type,Manufacturer,Year Built,Length,Width,Material,Location,Views Last 7 Days,Boat Condition,Engine Type
14000,Sport Boat,Rinker power boats,1992,7.16,2.59,nan,Italy,208,Used boat,Unleaded
14950,Motor Yacht,Quicksilver power boats,2008,5.55,2.47,nan,Germany,238,Used boat,nan
14900,Sport Boat,Marinello power boats,2014,4.7,1.85,GRP,Germany,156,new boat from stock,Unleaded
14900,Motor Yacht,Sea Ray power boats,1983,10,3,GRP,Croatia,111,Used boat,Unleaded
14900,Pontoon Boat,Ranieri International power boats,2020,5.55,2.18,GRP,Italy,87,new boat from stock,Unleaded
14900,Fishing Boat,Vizion power boats,2019,4.7,1.95,Aluminium,Germany,70,new boat from stock,nan
14900,"Cabin Boat,Classic",nan,1948,8.25,2.65,Wood,Netherlands,155,Used boat,nan
14900,Flybridge,Draco power boats,1980,9.1,3.14,GRP,Italy,356,Used boat,Diesel
14900,Cabin Boat,Hilter power boats,1984,7.9,2.5,GRP,Germany,198,Used boat,Unleaded
14900,Deck Boat,Jeanneau power boats,2017,5.15,2.15,PVC,France,68,Used boat,Unleaded
14900,Center console boat,Ultramar power boats,2018,5.3,1.96,nan,Germany,103,Used boat,Unleaded
14900,Trawler,nan,1975,10.3,3,Steel,Netherlands,225,Used boat,nan
14900,Pontoon Boat,Ranieri International power boats,2020,5.55,2.18,GRP,Switzerland ,80,new boat from stock,Unleaded
14900,Trawler,nan,2001,8.3,3,Steel,Netherlands,309,Used boat,nan
14900,Cabin Boat,Jeanneau power boats,2002,5,2.1,GRP,Germany,180,Used boat,Unleaded
15500,Cabin Boat,Seaswirl power boats,1995,6.5,2.5,GRP,Germany,145,Used boat,Unleaded
15500,Deck Boat,nan,2020,5.53,2.18,nan,Italy,50,new boat from stock,Unleaded
15500,Sport Boat,Maxum power boats,2007,6.12,2.31,nan,Malta,185,Used boat,Diesel
15500,Sport Boat,Fjord Plast power boats,1979,6.5,2.5,GRP,Austria,125,Used boat,Unleaded
15500,"Motor Yacht,Sport Boat",Scand power boats,1993,9.2,2.98,GRP,Austria,236,Used boat,Unleaded
15500,Trawler,Hoekstra power boats,1976,9.5,3.2,Steel,Netherlands,253,Used boat,nan
15500,Trawler,Skilș power boats,1979,7,2.5,GRP,Germany,311,Used boat,Diesel
15499,Cabin Boat,Quicksilver (Brunswick Marine) power boats,2020,5.5,2.29,GRP,Germany,219,new boat from stock,nan
15490,Deck Boat,Jeanneau power boats,2017,5,2,PVC,Slovak Republic,71,new boat from stock,nan
15446,Center console boat,Jeanneau power boats,2020,5.48,2.36,GRP,Germany,56,new boat on order,nan
15446,Center console boat,Jeanneau power boats,,6.34,2.48,GRP,Germany,148,new boat from stock,Unleaded
15400,Center console boat,Ranieri power boats,2019,6,2.25,GRP,Italy,116,new boat from stock,nan
15389.78,Deck Boat,Crescent power boats,2019,5,1,nan,Denmark,45,nan,nan
16490,Deck Boat,Quicksilver power boats,,4.54,1.85,GRP,Germany,54,new boat from stock,Unleaded
18420.83,Fishing Boat,VBoats power boats,2020,4.7,2.02,Aluminium,Switzerland ,341,new boat from stock,Unleaded
16314,Center console boat,Jeanneau power boats,,5.48,2.36,GRP,Germany,90,new boat from stock,Unleaded
18229.17,Pilothouse,Milan  power boats,1992,6.19,2.4,GRP,Switzerland ,201,Used boat,Diesel
16304,Deck Boat,Quicksilver power boats,,4.54,1.85,GRP,Germany,98,new boat from stock,Unleaded
16220,Center console boat,Jeanneau power boats,2020,5.48,2.36,GRP,Germany,99,new boat from stock,nan
16219,Deck Boat,Jeanneau power boats,,5.48,2.36,GRP,Germany,75,new boat from stock,Unleaded
16200,Sport Boat,nan,,5.7,2.5,GRP,Germany,108,new boat from stock,nan
16190,Sport Boat,AMT power boats,2019,5.15,2.08,GRP,Germany,60,new boat from stock,nan
18229.17,Pontoon Boat,Doral power boats,1995,7.2,2.57,GRP,Switzerland ,387,Used boat,Unleaded
